TEAM,SEED,REGION,NSGRADE
Connecticut,1,East,95.6
Purdue,1,Midwest,93.5
Houston,1,South,92.1
Arizona,2,West,91.6
Iowa State,2,East,90.9
Auburn,4,East,90.6
Tennessee,2,Midwest,90.6
North Carolina,1,West,90.2
Illinois,3,East,89.8
Creighton,3,Midwest,89.6
Duke,4,South,89.4
Marquette,2,South,88.7
Kentucky,3,South,88.3
Gonzaga,5,Midwest,88.0
Baylor,3,West,87.9
Alabama,4,West,87.8
Kansas,4,Midwest,87.1
Michigan State,9,West,86.9
Wisconsin,5,South,86.6
Texas,7,Midwest,86.6
Brigham Young,6,East,86.4
San Diego State,5,East,85.6
Mississippi State,8,West,85.5
Texas A&M,9,South,85.0
TCU,9,Midwest,85.0
Florida Atlantic,8,East,84.8
Colorado,10,South,84.8
Saint Mary's,5,West,84.7
Nebraska,8,South,84.5
New Mexico,11,West,84.2
Florida,7,South,84.2
Texas Tech,6,South,84.1
Clemson,6,West,83.8
Washington State,7,East,83.4
Dayton,7,West,83.1
Drake,10,East,82.9
Oregon,11,Midwest,82.5
Nevada,10,West,82.4
Utah State,8,Midwest,82.3
South Carolina,6,Midwest,82.3
North Carolina State,11,South,81.9
Colorado State,10,Midwest,81.5
Grand Canyon,12,West,81.2
James Madison,12,South,81.2
Northwestern,9,East,80.7
Yale,13,East,79.7
Charleston,13,West,79.5
Duquesne,11,East,79.0
Vermont,13,South,78.8
Samford,13,Midwest,78.6
UAB,12,East,78.5
McNeese State,12,Midwest,78.3
Akron,14,Midwest,76.8
Colgate,14,West,76.2
Morehead State,14,East,75.9
Western Kentucky,15,South,74.7
South Dakota State,15,East,74.5
Oakland,14,South,74.4
Longwood,16,South,73.4
Long Beach State,15,West,72.7
St. Peter's,15,Midwest,71.2
Stetson,16,East,70.8
Howard,16,West,68.4
Grambling State,16,Midwest,68.1
