,Team,Conf.,Current Elo,Last,Season Min.,Season Max.,Home Court*
1,Duke Blue Devils,ACC,2118.67,+12 🟢@@11.91589355,1855.666,2118.67,80.61849
2,Houston Cougars,Big 12,2116.65,+10 🟢@@9.635620117,1878.984,2116.65,84.03011
3,Florida Gators,SEC,2096.936,+38 🟢@@38.12353516,1807.053,2096.936,62.04281
4,Auburn Tigers,SEC,2046.157,-19 🟠@@-18.93170166,1874.28,2115.515,67.18417
5,Alabama Crimson Tide,SEC,2035.864,-38 🟠@@-38.12353516,1923.853,2102.856,99.86444
6,St. John's Red Storm,Big East,2023.274,+12 🟢@@11.7333374,1798.122,2023.274,43.11964
7,Tennessee Volunteers,SEC,2011.854,+19 🟢@@18.93170166,1857.944,2011.854,85.4992
8,Michigan State Spartans,Big Ten,2006.069,-17 🟠@@-17.29510498,1764.261,2023.364,79.94518
9,Gonzaga Bulldogs,WCC,1982.021,+19 🟢@@19.30688477,1840.146,1982.021,70.65714
10,Maryland Terrapins,Big Ten,1970.721,-12 🟠@@-12.16699219,1711.481,1982.888,73.68816
11,Louisville Cardinals,ACC,1958.452,-12 🟠@@-11.91589355,1539.657,1970.368,64.56897
12,Arizona Wildcats,Big 12,1952.972,-10 🟠@@-9.635559082,1741.361,1968.967,82.42317
13,Texas Tech Red Raiders,Big 12,1945.414,-20 🟠@@-20.22357178,1776.804,1965.638,80.43138
14,Saint Mary's Gaels,WCC,1922.426,-19 🟠@@-19.30688477,1721.085,1941.732,50.95832
15,Wisconsin Badgers,Big Ten,1918.098,+17 🟢@@17.29510498,1754.847,1966.823,76.30852
16,Clemson Tigers,ACC,1912.944,-13 🟠@@-12.87463379,1741.825,1925.819,81.81327
17,Kansas Jayhawks,Big 12,1907.924,-26 🟠@@-25.7454834,1907.924,2055.202,86.42014
18,Iowa State Cyclones,Big 12,1904.397,-16 🟠@@-16.32745361,1877.99,2044.129,77.8632
19,UConn Huskies,Big East,1896.165,-33 🟠@@-33.38903809,1860.749,2002.05,52.73684
20,BYU Cougars,Big 12,1890.807,-17 🟠@@-16.65692139,1717.788,1907.464,98.07619
