TEAM_NAME,SEED,REGION,ORDER_IN_REGION,ROUND
Duke Blue Devils,1,EAST,0,1
Mount St. Mary's Mountaineers,16,EAST,1,1
Mississippi State Bulldogs,8,EAST,2,1
Baylor Bears,9,EAST,3,1
Oregon Ducks,5,EAST,4,1
Liberty Flames,12,EAST,5,1
Arizona Wildcats,4,EAST,6,1
Akron Zips,13,EAST,7,1
BYU Cougars,6,EAST,8,1
VCU Rams,11,EAST,9,1
Wisconsin Badgers,3,EAST,10,1
Montana Grizzlies,14,EAST,11,1
Saint Mary's Gaels,7,EAST,12,1
Vanderbilt Commodores,10,EAST,13,1
Alabama Crimson Tide,2,EAST,14,1
Robert Morris Colonials,15,EAST,15,1
Florida Gators,1,WEST,0,1
Norfolk State Spartans,16,WEST,1,1
UConn Huskies,8,WEST,2,1
Oklahoma Sooners,9,WEST,3,1
Memphis Tigers,5,WEST,4,1
Colorado State Rams,12,WEST,5,1
Maryland Terrapins,4,WEST,6,1
Grand Canyon Lopes,13,WEST,7,1
Missouri Tigers,6,WEST,8,1
Drake Bulldogs,11,WEST,9,1
Texas Tech Red Raiders,3,WEST,10,1
UNC Wilmington Seahawks,14,WEST,11,1
Kansas Jayhawks,7,WEST,12,1
Arkansas Razorbacks,10,WEST,13,1
St. John's Red Storm,2,WEST,14,1
Omaha Mavericks,15,WEST,15,1
Auburn Tigers,1,SOUTH,0,1
Alabama State Hornets,16,SOUTH,1,1
Louisville Cardinals,8,SOUTH,2,1
Creighton Bluejays,9,SOUTH,3,1
Michigan Wolverines,5,SOUTH,4,1
UC San Diego Tritons,12,SOUTH,5,1
Texas A&M Aggies,4,SOUTH,6,1
Yale Bulldogs,13,SOUTH,7,1
Ole Miss Rebels,6,SOUTH,8,1
North Carolina Tar Heels,11,SOUTH,9,1
Iowa State Cyclones,3,SOUTH,10,1
Lipscomb Bisons,14,SOUTH,11,1
Marquette Golden Eagles,7,SOUTH,12,1
New Mexico Lobos,10,SOUTH,13,1
Michigan State Spartans,2,SOUTH,14,1
Bryant Bulldogs,15,SOUTH,15,1
Houston Cougars,1,MIDWEST,0,1
SIU Edwardsville Cougars,16,MIDWEST,1,1
Gonzaga Bulldogs,8,MIDWEST,2,1
Georgia Bulldogs,9,MIDWEST,3,1
Clemson Tigers,5,MIDWEST,4,1
McNeese Cowboys,12,MIDWEST,5,1
Purdue Boilermakers,4,MIDWEST,6,1
High Point Panthers,13,MIDWEST,7,1
Illinois Fighting Illini,6,MIDWEST,8,1
Xavier Musketeers,11,MIDWEST,9,1
Kentucky Wildcats,3,MIDWEST,10,1
Troy Trojans,14,MIDWEST,11,1
UCLA Bruins,7,MIDWEST,12,1
Utah State Aggies,10,MIDWEST,13,1
Tennessee Volunteers,2,MIDWEST,14,1
Wofford Terriers,15,MIDWEST,15,1
Duke Blue Devils,1,EAST,0,2
Mississippi State Bulldogs,8,EAST,2,2
Liberty Flames,12,EAST,5,2
Arizona Wildcats,4,EAST,6,2
BYU Cougars,6,EAST,8,2
Wisconsin Badgers,3,EAST,10,2
Saint Mary's Gaels,7,EAST,12,2
Alabama Crimson Tide,2,EAST,14,2
Florida Gators,1,WEST,0,2
Oklahoma Sooners,9,WEST,3,2
Memphis Tigers,5,WEST,4,2
Maryland Terrapins,4,WEST,6,2
Drake Bulldogs,11,WEST,9,2
Texas Tech Red Raiders,3,WEST,10,2
Kansas Jayhawks,7,WEST,12,2
St. John's Red Storm,2,WEST,14,2
Auburn Tigers,1,SOUTH,0,2
Louisville Cardinals,8,SOUTH,2,2
UC San Diego Tritons,12,SOUTH,5,2
Texas A&M Aggies,4,SOUTH,6,2
Ole Miss Rebels,6,SOUTH,8,2
Iowa State Cyclones,3,SOUTH,10,2
Marquette Golden Eagles,7,SOUTH,12,2
Michigan State Spartans,2,SOUTH,14,2
Houston Cougars,1,MIDWEST,0,2
Gonzaga Bulldogs,8,MIDWEST,2,2
Clemson Tigers,5,MIDWEST,4,2
High Point Panthers,13,MIDWEST,7,2
Illinois Fighting Illini,6,MIDWEST,8,2
Kentucky Wildcats,3,MIDWEST,10,2
UCLA Bruins,7,MIDWEST,12,2
Tennessee Volunteers,2,MIDWEST,14,2
Duke Blue Devils,1,EAST,0,3
Arizona Wildcats,4,EAST,6,3
BYU Cougars,6,EAST,8,3
Saint Mary's Gaels,7,EAST,12,3
Florida Gators,1,WEST,0,3
Memphis Tigers,5,WEST,4,3
Texas Tech Red Raiders,3,WEST,10,3
Kansas Jayhawks,7,WEST,12,3
Auburn Tigers,1,SOUTH,0,3
Texas A&M Aggies,4,SOUTH,6,3
Iowa State Cyclones,3,SOUTH,10,3
Marquette Golden Eagles,7,SOUTH,12,3
Houston Cougars,1,MIDWEST,0,3
Clemson Tigers,5,MIDWEST,4,3
Illinois Fighting Illini,6,MIDWEST,8,3
Tennessee Volunteers,2,MIDWEST,14,3
Duke Blue Devils,1,EAST,0,4
BYU Cougars,6,EAST,8,4
Memphis Tigers,5,WEST,4,4
Texas Tech Red Raiders,3,WEST,10,4
Auburn Tigers,1,SOUTH,0,4
Iowa State Cyclones,3,SOUTH,10,4
Houston Cougars,1,MIDWEST,0,4
Illinois Fighting Illini,6,MIDWEST,8,4
Duke Blue Devils,1,EAST,0,5
Memphis Tigers,5,WEST,4,5
Auburn Tigers,1,SOUTH,0,5
Illinois Fighting Illini,6,MIDWEST,8,5
Illinois Fighting Illini,6,MIDWEST,8,6
Auburn Tigers,1,SOUTH,0,6
Auburn Tigers,1,SOUTH,0,7
